항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-259,-927,"2,679",669,-94,427,-114,556
  당기순이익(지배)＜당기＞,-86.9,-312.9,"1,037.4",266.4,-37.3,170.0, , 
  보통주수정평균발행주식수＜당기＞,"33,546,790","33,739,596","38,717,233","39,820,883","39,820,883",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 BPS,"1,570","2,298","5,469","6,177","6,291","6,931",2,10
  자본총계(지배)＜당기＞,513.0,862.2,"2,177.7","2,459.9","2,505.0","2,760.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"32,687,805","37,519,457","39,820,883","39,820,883","39,820,883",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,-235,"-1,107",-93,"3,015","1,195",778,-60,-35
  영업활동현금흐름＜당기＞,-78.7,-373.5,-35.9,"1,200.6",475.8,-190.0, , 
  보통주수정평균발행주식수＜당기＞,"33,546,790","33,739,596","38,717,233","39,820,883","39,820,883",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 SPS,"6,073","8,781","17,638","8,500","5,152","6,956",-39,35
  매출액＜당기＞,"2,037.2","2,962.7","6,828.8","3,385.0","2,051.6","2,770.0", , 
  보통주수정평균발행주식수＜당기＞,"33,546,790","33,739,596","38,717,233","39,820,883","39,820,883",, , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,, , 
펼치기 PER,N/A,N/A,19.07,120.64,N/A,76.83,-464.22,117.49
  보통주수정주가(기말)＜당기＞,"12,708","11,025","51,100","80,700","41,150","32,800", , 
  EPS＜당기＞,-259,-927,"2,679",669,-94,427, , 
펼치기 PBR,8.10,4.80,9.34,13.06,6.54,4.73,-49.93,-27.66
  보통주수정주가(기말)＜당기＞,"12,708","11,025","51,100","80,700","41,150","32,800", , 
  BPS＜당기＞,"1,570","2,298","5,469","6,177","6,291","6,931", , 
펼치기 PCR,-54.17,-9.96,-551.83,26.77,34.44,42.13,28.66,22.34
  보통주수정주가(기말)＜당기＞,"12,708","11,025","51,100","80,700","41,150","32,800", , 
  CPS＜당기＞,-235,"-1,107",-93,"3,015","1,195",778, , 
펼치기 PSR,2.09,1.26,2.90,9.49,7.99,4.72,-15.87,-40.96
  보통주수정주가(기말)＜당기＞,"12,708","11,025","51,100","80,700","41,150","32,800", , 
  SPS＜당기＞,"6,073","8,781","17,638","8,500","5,152","6,956", , 
펼치기 EV/EBITDA,68.44,-26.90,14.19,71.68,-111.73,206.52,-255.86,284.84
  EV＜당기＞,"4,747.5","4,466.5","20,827.7","31,582.3","15,464.3","12,391.2", , 
  EBITDA＜당기＞,69.4,-166.0,"1,467.6",440.6,-138.4,60.0, , 
펼치기 DPS,0,0,,,,, , 
  현금DPS,0,0,,,,, , 
  주식DPS,0,0,,,,, , 
  현금배당수익률,0.00,0.00,,,,0.00, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
