항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,91,"-1,430","-1,325",-491,-323,,34, 
  당기순이익(지배)＜당기＞,4.5,-71.6,-66.4,-24.6,-16.9,, , 
  보통주수정평균발행주식수＜당기＞,"4,948,213","5,010,567","5,016,165","5,016,165","5,225,354","5,602,556", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"4,794","4,265","2,989","2,441","3,499",,43, 
  자본총계(지배)＜당기＞,239.0,213.9,149.9,122.5,196.0,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"4,985,765","5,016,165","5,016,165","5,016,165","5,602,556","5,602,556", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,240,-406,-65,-10,175,,"1,922", 
  영업활동현금흐름＜당기＞,11.9,-20.3,-3.3,-0.5,9.2,, , 
  보통주수정평균발행주식수＜당기＞,"4,948,213","5,010,567","5,016,165","5,016,165","5,225,354","5,602,556", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,920,821,"1,251","1,698","1,965",,16, 
  매출액＜당기＞,45.5,41.1,62.8,85.2,102.7,, , 
  보통주수정평균발행주식수＜당기＞,"4,948,213","5,010,567","5,016,165","5,016,165","5,225,354","5,602,556", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,293.60,N/A,N/A,N/A,N/A,,-68.80, 
  보통주수정주가(기말)＜당기＞,"26,600","13,800","10,100","13,800","15,350","11,000", , 
  EPS＜당기＞,91,"-1,430","-1,325",-491,-323,, , 
펼치기 PBR,5.55,3.24,3.38,5.65,4.39,,-22.40, 
  보통주수정주가(기말)＜당기＞,"26,600","13,800","10,100","13,800","15,350","11,000", , 
  BPS＜당기＞,"4,794","4,265","2,989","2,441","3,499",, , 
펼치기 PCR,110.74,-34.01,-154.25,"-1,433.86",87.52,,106.10, 
  보통주수정주가(기말)＜당기＞,"26,600","13,800","10,100","13,800","15,350","11,000", , 
  CPS＜당기＞,240,-406,-65,-10,175,, , 
펼치기 PSR,28.92,16.81,8.07,8.13,7.81,,-3.89, 
  보통주수정주가(기말)＜당기＞,"26,600","13,800","10,100","13,800","15,350","11,000", , 
  SPS＜당기＞,920,821,"1,251","1,698","1,965",, , 
펼치기 EV/EBITDA,92.55,-17.78,-24.75,58.10,37.64,,-35.22, 
  EV＜당기＞,"1,255.5",677.8,547.7,763.0,882.8,, , 
  EBITDA＜당기＞,13.6,-38.1,-22.1,13.1,23.5,, , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
