항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"2,051","1,162",324,"1,269","1,528",,20, 
  당기순이익(지배)＜당기＞,447.4,253.5,70.7,276.8,333.3,, , 
  보통주수정평균발행주식수＜당기＞,"21,807,689","21,807,689","21,807,689","21,807,689","21,807,689","21,807,689", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"13,879","14,048","14,607","16,861","19,019",,13, 
  자본총계(지배)＜당기＞,"2,996.0","2,986.6","3,051.2","3,522.1","3,972.7",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"21,585,837","21,260,129","20,888,435","20,888,435","20,888,435","20,888,435", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"-4,001","2,329","-1,360","15,155","12,399",,-18, 
  영업활동현금흐름＜당기＞,-872.5,508.0,-296.6,"3,304.9","2,703.9",, , 
  보통주수정평균발행주식수＜당기＞,"21,807,689","21,807,689","21,807,689","21,807,689","21,807,689","21,807,689", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"31,464","32,396","33,548","40,158","43,931",,9, 
  매출액＜당기＞,"6,861.5","7,064.7","7,316.2","8,757.6","9,580.3",, , 
  보통주수정평균발행주식수＜당기＞,"21,807,689","21,807,689","21,807,689","21,807,689","21,807,689","21,807,689", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,5.48,7.24,23.77,8.31,12.10,,45.61, 
  보통주수정주가(기말)＜당기＞,"11,250","8,410","7,710","10,550","18,500","14,250", , 
  EPS＜당기＞,"2,051","1,162",324,"1,269","1,528",, , 
펼치기 PBR,0.81,0.60,0.53,0.63,0.97,,55.47, 
  보통주수정주가(기말)＜당기＞,"11,250","8,410","7,710","10,550","18,500","14,250", , 
  BPS＜당기＞,"13,879","14,048","14,607","16,861","19,019",, , 
펼치기 PCR,-2.81,3.61,-5.67,0.70,1.49,,114.33, 
  보통주수정주가(기말)＜당기＞,"11,250","8,410","7,710","10,550","18,500","14,250", , 
  CPS＜당기＞,"-4,001","2,329","-1,360","15,155","12,399",, , 
펼치기 PSR,0.36,0.26,0.23,0.26,0.42,,60.30, 
  보통주수정주가(기말)＜당기＞,"11,250","8,410","7,710","10,550","18,500","14,250", , 
  SPS＜당기＞,"31,464","32,396","33,548","40,158","43,931",, , 
펼치기 EV/EBITDA,2.56,2.42,3.19,4.25,5.64,,32.76, 
  EV＜당기＞,"4,763.2","4,375.1","4,426.7","5,298.2","7,129.5",, , 
  EBITDA＜당기＞,"1,861.2","1,808.7","1,389.0","1,247.0","1,263.9",, , 
펼치기 DPS,140,100,40,140,150,,7, 
  현금DPS,140,100,40,140,150,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,1.24,1.19,0.52,1.33,0.81,,-0.52, 
  현금배당성향(%),6.76,8.39,11.81,10.57,9.40,,-1.17, 
