항목,,"2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,,,-119,3,-3,,-196, 
  당기순이익(지배)＜당기＞,,,-1.4,0.2,-0.2,, , 
  보통주수정평균발행주식수＜당기＞,,,"1,182,301","5,010,000","5,010,000","11,261,231", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,, , 
펼치기 BPS,,,"1,816","1,820","1,816",,-0, 
  자본총계(지배)＜당기＞,,,91.0,91.2,91.0,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,,0,"5,010,000","5,010,000","5,010,000","22,561,534", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,,0,0,0,0,, , 
펼치기 CPS,,,-153,-7,-3,,54, 
  영업활동현금흐름＜당기＞,,,-1.8,-0.3,-0.2,, , 
  보통주수정평균발행주식수＜당기＞,,,"1,182,301","5,010,000","5,010,000","11,261,231", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,, , 
펼치기 SPS,,,0,0,0,, , 
  매출액＜당기＞,,,0.0,0.0,0.0,, , 
  보통주수정평균발행주식수＜당기＞,,,"1,182,301","5,010,000","5,010,000","11,261,231", , 
  우선주수정평균발행주식수＜당기＞,,,0,0,0,, , 
펼치기 PER,,,N/A,622.82,N/A,,-204.70, 
  보통주수정주가(기말)＜당기＞,,,"2,010","2,060","2,075","2,170", , 
  EPS＜당기＞,,,-119,3,-3,, , 
펼치기 PBR,,,1.11,1.13,1.14,,0.90, 
  보통주수정주가(기말)＜당기＞,,,"2,010","2,060","2,075","2,170", , 
  BPS＜당기＞,,,"1,816","1,820","1,816",, , 
펼치기 PCR,,,-13.11,-295.20,-650.07,,-120.22, 
  보통주수정주가(기말)＜당기＞,,,"2,010","2,060","2,075","2,170", , 
  CPS＜당기＞,,,-153,-7,-3,, , 
펼치기 PSR,,,,,,, , 
  보통주수정주가(기말)＜당기＞,,,"2,010","2,060","2,075","2,170", , 
  SPS＜당기＞,,,0,0,0,, , 
펼치기 EV/EBITDA,,,-48.89,-227.02,-313.97,,-38.30, 
  EV＜당기＞,,,89.6,93.0,94.5,, , 
  EBITDA＜당기＞,,,-1.8,-0.4,-0.3,, , 
펼치기 DPS,,,0,0,0,, , 
  현금DPS,,,0,0,0,, , 
  주식DPS,,,0,0,0,, , 
  현금배당수익률,,,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),,,0.00,0.00,,, , 
