항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,200,100,567,408,451,,11, 
  당기순이익(지배)＜당기＞,37.9,18.8,107.1,77.0,85.2,, , 
  보통주수정평균발행주식수＜당기＞,"18,893,576","18,893,576","18,893,576","18,893,576","18,893,576","18,893,576", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"5,792","5,561","5,936","6,204","6,456",,4, 
  자본총계(지배)＜당기＞,"1,076.2","1,021.5","1,090.3","1,113.7","1,158.9",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"18,580,329","18,370,244","18,369,653","17,950,880","17,950,880","17,950,880", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,469,277,372,"1,196",115,,-90, 
  영업활동현금흐름＜당기＞,88.6,52.3,70.3,226.0,21.7,, , 
  보통주수정평균발행주식수＜당기＞,"18,893,576","18,893,576","18,893,576","18,893,576","18,893,576","18,893,576", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"6,953","7,301","8,261","7,017","7,961",,13, 
  매출액＜당기＞,"1,313.7","1,379.4","1,560.8","1,325.7","1,504.2",, , 
  보통주수정평균발행주식수＜당기＞,"18,893,576","18,893,576","18,893,576","18,893,576","18,893,576","18,893,576", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,59.40,79.51,13.68,18.54,18.43,,-0.61, 
  보통주수정주가(기말)＜당기＞,"11,909","7,912","7,750","7,560","8,310","7,900", , 
  EPS＜당기＞,200,100,567,408,451,, , 
펼치기 PBR,2.06,1.42,1.31,1.22,1.29,,5.63, 
  보통주수정주가(기말)＜당기＞,"11,909","7,912","7,750","7,560","8,310","7,900", , 
  BPS＜당기＞,"5,792","5,561","5,936","6,204","6,456",, , 
펼치기 PCR,25.38,28.60,20.84,6.32,72.26,,"1,043.20", 
  보통주수정주가(기말)＜당기＞,"11,909","7,912","7,750","7,560","8,310","7,900", , 
  CPS＜당기＞,469,277,372,"1,196",115,, , 
펼치기 PSR,1.71,1.08,0.94,1.08,1.04,,-3.12, 
  보통주수정주가(기말)＜당기＞,"11,909","7,912","7,750","7,560","8,310","7,900", , 
  SPS＜당기＞,"6,953","7,301","8,261","7,017","7,961",, , 
펼치기 EV/EBITDA,16.53,20.40,8.81,6.29,11.65,,85.05, 
  EV＜당기＞,"2,031.5","1,484.6","1,501.9","1,301.0","1,466.6",, , 
  EBITDA＜당기＞,122.9,72.8,170.6,206.7,125.9,, , 
펼치기 DPS,244,163,160,200,200,,0, 
  현금DPS,244,163,146,200,200,, , 
  주식DPS,0,0,15,0,0,, , 
  현금배당수익률,2.05,2.06,1.88,2.65,2.41,,-0.24, 
  현금배당성향(%),110.40,158.11,24.99,46.60,36.68,,-9.93, 
