항목,"2017/12
(IFRS별도)","2018/12
(IFRS별도)","2019/12
(IFRS별도)","2020/12
(IFRS별도)","2021/12
(IFRS별도)","2022/12(E)
(IFRS별도)
연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,660,"1,192","1,549","2,248","2,761","4,210",23,52
  당기순이익(지배)＜당기＞,89.9,162.3,214.2,372.3,471.7,719.0, , 
  보통주수정평균발행주식수＜당기＞,"13,618,155","13,618,155","13,618,155","14,240,667","14,759,577","14,759,577", , 
  우선주수정평균발행주식수＜당기＞,0,0,"209,814","2,320,672","2,320,672","2,320,672", , 
펼치기 BPS,"4,985","6,061","10,304","13,173","15,444","19,469",17,26
  자본총계(지배)＜당기＞,670.0,814.5,"1,633.1","2,238.3","2,624.1","3,308.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"13,439,451","13,439,451","13,529,450","14,670,872","14,670,872","14,670,872", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,"2,320,672","2,320,672","2,320,672","2,320,672", , 
펼치기 CPS,"1,606","2,382","3,150","4,214","7,853","10,228",86,30
  영업활동현금흐름＜당기＞,218.7,324.4,435.5,697.8,"1,341.4","1,773.0", , 
  보통주수정평균발행주식수＜당기＞,"13,618,155","13,618,155","13,618,155","14,240,667","14,759,577","14,759,577", , 
  우선주수정평균발행주식수＜당기＞,0,0,"209,814","2,320,672","2,320,672","2,320,672", , 
펼치기 SPS,"3,465","4,793","7,003","8,002","12,153","16,487",52,36
  매출액＜당기＞,471.9,652.7,968.3,"1,325.2","2,075.8","2,816.0", , 
  보통주수정평균발행주식수＜당기＞,"13,618,155","13,618,155","13,618,155","14,240,667","14,759,577","14,759,577", , 
  우선주수정평균발행주식수＜당기＞,0,0,"209,814","2,320,672","2,320,672","2,320,672", , 
펼치기 PER,10.74,8.19,16.57,25.00,18.09,10.88,-27.65,-39.85
  보통주수정주가(기말)＜당기＞,"7,095","9,761","25,662","56,200","49,950","45,800", , 
  EPS＜당기＞,660,"1,192","1,549","2,248","2,761","4,210", , 
펼치기 PBR,1.42,1.61,2.49,4.27,3.23,2.35,-24.19,-27.26
  보통주수정주가(기말)＜당기＞,"7,095","9,761","25,662","56,200","49,950","45,800", , 
  BPS＜당기＞,"4,985","6,061","10,304","13,173","15,444","19,469", , 
펼치기 PCR,4.42,4.10,8.15,13.34,6.36,4.48,-52.31,-29.60
  보통주수정주가(기말)＜당기＞,"7,095","9,761","25,662","56,200","49,950","45,800", , 
  CPS＜당기＞,"1,606","2,382","3,150","4,214","7,853","10,228", , 
펼치기 PSR,2.05,2.04,3.66,7.02,4.11,2.78,-41.48,-32.41
  보통주수정주가(기말)＜당기＞,"7,095","9,761","25,662","56,200","49,950","45,800", , 
  SPS＜당기＞,"3,465","4,793","7,003","8,002","12,153","16,487", , 
펼치기 EV/EBITDA,3.77,3.84,6.92,11.59,6.32,4.46,-45.49,-29.37
  EV＜당기＞,878.5,"1,238.5","3,470.9","9,665.5","8,975.0","8,156.9", , 
  EBITDA＜당기＞,233.0,322.6,501.4,834.0,"1,420.6","1,828.0", , 
펼치기 DPS,75,86,101,130,160,,23, 
  현금DPS,75,86,101,130,160,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,1.06,0.88,0.39,0.23,0.32,0.44,0.09,0.12
  현금배당성향(%),11.13,6.99,7.40,5.93,6.55,4.11,0.62,-2.45
