항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,195",553,350,744,881,,18, 
  당기순이익(지배)＜당기＞,128.6,59.5,37.7,80.1,94.8,, , 
  보통주수정평균발행주식수＜당기＞,"10,762,890","10,762,890","10,762,890","10,762,890","10,762,890","10,762,890", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"9,440","9,966","10,356","10,734","11,887",,11, 
  자본총계(지배)＜당기＞,975.9,"1,021.9","1,061.9","1,100.6","1,218.9",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"10,338,183","10,253,714","10,253,714","10,253,714","10,253,714",, , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,, , 
펼치기 CPS,362,698,"1,930",909,315,,-65, 
  영업활동현금흐름＜당기＞,38.9,75.1,207.7,97.8,33.9,, , 
  보통주수정평균발행주식수＜당기＞,"10,762,890","10,762,890","10,762,890","10,762,890","10,762,890","10,762,890", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"13,343","13,641","14,594","13,156","16,545",,26, 
  매출액＜당기＞,"1,436.1","1,468.2","1,570.7","1,415.9","1,780.8",, , 
  보통주수정평균발행주식수＜당기＞,"10,762,890","10,762,890","10,762,890","10,762,890","10,762,890","10,762,890", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,9.00,15.46,38.96,12.61,10.98,,-12.91, 
  보통주수정주가(기말)＜당기＞,"10,750","8,550","13,650","9,390","9,680","9,080", , 
  EPS＜당기＞,"1,195",553,350,744,881,, , 
펼치기 PBR,1.14,0.86,1.32,0.87,0.81,,-6.92, 
  보통주수정주가(기말)＜당기＞,"10,750","8,550","13,650","9,390","9,680","9,080", , 
  BPS＜당기＞,"9,440","9,966","10,356","10,734","11,887",, , 
펼치기 PCR,29.72,12.26,7.07,10.33,30.71,,197.26, 
  보통주수정주가(기말)＜당기＞,"10,750","8,550","13,650","9,390","9,680","9,080", , 
  CPS＜당기＞,362,698,"1,930",909,315,, , 
펼치기 PSR,0.81,0.63,0.94,0.71,0.59,,-18.03, 
  보통주수정주가(기말)＜당기＞,"10,750","8,550","13,650","9,390","9,680","9,080", , 
  SPS＜당기＞,"13,343","13,641","14,594","13,156","16,545",, , 
펼치기 EV/EBITDA,9.94,10.95,11.76,14.75,15.93,,7.95, 
  EV＜당기＞,"1,931.9","1,795.3","2,459.8","2,220.7","2,973.2",, , 
  EBITDA＜당기＞,194.3,164.0,209.2,150.5,186.7,, , 
펼치기 DPS,110,150,200,100,120,,20, 
  현금DPS,110,150,200,100,120,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,1.02,1.75,1.47,1.06,1.24,,0.17, 
  현금배당성향(%),8.84,25.83,54.38,12.80,12.97,,0.18, 
