항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,144,284,183,230,-135,,-159, 
  당기순이익(지배)＜당기＞,15.6,37.3,28.3,35.7,-20.9,, , 
  보통주수정평균발행주식수＜당기＞,"10,813,570","13,122,434","15,498,036","15,526,404","15,526,404","15,526,404", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"2,885","3,134","3,315","3,485","3,491",,0, 
  자본총계(지배)＜당기＞,368.5,481.5,514.7,534.4,529.5,, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"12,774,050","15,362,050","15,526,404","15,335,404","15,166,404","14,879,831", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,359,188,115,395,-99,,-125, 
  영업활동현금흐름＜당기＞,38.8,24.7,17.8,61.3,-15.4,, , 
  보통주수정평균발행주식수＜당기＞,"10,813,570","13,122,434","15,498,036","15,526,404","15,526,404","15,526,404", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"4,819","4,173","3,860","4,558","4,850",,6, 
  매출액＜당기＞,521.1,547.7,598.2,707.7,753.0,, , 
  보통주수정평균발행주식수＜당기＞,"10,813,570","13,122,434","15,498,036","15,526,404","15,526,404","15,526,404", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,,7.59,15.88,21.47,N/A,,-257.19, 
  보통주수정주가(기말)＜당기＞,,"2,158","2,900","4,940","4,550","3,365", , 
  EPS＜당기＞,144,284,183,230,-135,, , 
펼치기 PBR,0.00,0.69,0.87,1.42,1.30,,-8.07, 
  보통주수정주가(기말)＜당기＞,,"2,158","2,900","4,940","4,550","3,365", , 
  BPS＜당기＞,"2,885","3,134","3,315","3,485","3,491",, , 
펼치기 PCR,,11.48,25.30,12.50,-45.93,,-467.32, 
  보통주수정주가(기말)＜당기＞,,"2,158","2,900","4,940","4,550","3,365", , 
  CPS＜당기＞,359,188,115,395,-99,, , 
펼치기 PSR,,0.52,0.75,1.08,0.94,,-13.44, 
  보통주수정주가(기말)＜당기＞,,"2,158","2,900","4,940","4,550","3,365", , 
  SPS＜당기＞,"4,819","4,173","3,860","4,558","4,850",, , 
펼치기 EV/EBITDA,,4.50,7.91,9.77,15.76,,61.27, 
  EV＜당기＞,,216.3,330.5,632.7,672.0,, , 
  EBITDA＜당기＞,49.4,48.1,41.8,64.8,42.6,, , 
펼치기 DPS,0,0,0,0,50,, , 
  현금DPS,0,0,0,0,50,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,,0.00,0.00,0.00,1.10,,1.10, 
  현금배당성향(%),0.00,0.00,0.00,0.00,-36.37,,-36.37, 
