항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,641,833,-231,-925,-153,,83, 
  당기순이익(지배)＜당기＞,266.6,346.6,-96.1,-385.0,-63.7,, , 
  보통주수정평균발행주식수＜당기＞,"41,609,310","41,609,310","41,609,310","41,609,310","41,609,310","41,609,310", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"9,866","10,793","10,529","9,572","9,473",,-1, 
  자본총계(지배)＜당기＞,"4,105.2","4,490.7","4,381.1","3,983.0","3,941.6",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"41,609,310","41,609,310","41,609,310","41,609,310","41,609,310","41,609,310", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"2,791","2,055","1,882","2,294","-1,462",,-164, 
  영업활동현금흐름＜당기＞,"1,161.3",854.9,782.9,954.4,-608.5,, , 
  보통주수정평균발행주식수＜당기＞,"41,609,310","41,609,310","41,609,310","41,609,310","41,609,310","41,609,310", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"24,865","26,654","27,007","22,823","25,361",,11, 
  매출액＜당기＞,"10,346.3","11,090.7","11,237.3","9,496.5","10,552.7",, , 
  보통주수정평균발행주식수＜당기＞,"41,609,310","41,609,310","41,609,310","41,609,310","41,609,310","41,609,310", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,3.82,3.39,N/A,N/A,N/A,,-458.95, 
  보통주수정주가(기말)＜당기＞,"2,445","2,820","2,485","2,705","2,500","2,975", , 
  EPS＜당기＞,641,833,-231,-925,-153,, , 
펼치기 PBR,0.25,0.26,0.24,0.28,0.26,,-6.61, 
  보통주수정주가(기말)＜당기＞,"2,445","2,820","2,485","2,705","2,500","2,975", , 
  BPS＜당기＞,"9,866","10,793","10,529","9,572","9,473",, , 
펼치기 PCR,0.88,1.37,1.32,1.18,-1.71,,-244.96, 
  보통주수정주가(기말)＜당기＞,"2,445","2,820","2,485","2,705","2,500","2,975", , 
  CPS＜당기＞,"2,791","2,055","1,882","2,294","-1,462",, , 
펼치기 PSR,0.10,0.11,0.09,0.12,0.10,,-16.83, 
  보통주수정주가(기말)＜당기＞,"2,445","2,820","2,485","2,705","2,500","2,975", , 
  SPS＜당기＞,"24,865","26,654","27,007","22,823","25,361",, , 
펼치기 EV/EBITDA,6.59,4.69,7.64,10.57,11.25,,6.38, 
  EV＜당기＞,"9,476.9","9,283.6","10,810.9","10,460.8","11,820.8",, , 
  EBITDA＜당기＞,"1,437.9","1,981.5","1,415.5",989.5,"1,051.1",, , 
펼치기 DPS,25,50,50,50,25,,-50, 
  현금DPS,25,50,50,50,25,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,1.02,1.77,2.01,1.85,1.00,,-0.85, 
  현금배당성향(%),3.90,6.00,-21.64,-5.40,-16.34,,-10.94, 
