항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,320,123,-717,355,"3,132","3,680",782,17
  당기순이익(지배)＜당기＞,"1,086.0",478.9,"-3,010.0","1,556.2","13,921.5","16,368.2", , 
  보통주수정평균발행주식수＜당기＞,"338,881,820","390,546,520","419,788,925","438,011,860","444,444,689","444,791,548", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"11,867","12,979","12,746","14,647","23,018","25,926",57,13
  자본총계(지배)＜당기＞,"40,291.4","51,368.5","52,253.6","62,989.2","99,843.8","112,013.1", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"339,516,695","395,771,405","409,945,720","430,060,320","433,766,900","432,049,162", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"1,098","1,258","1,793","2,217","2,940","4,804",33,63
  영업활동현금흐름＜당기＞,"3,719.3","4,914.7","7,526.7","9,711.0","13,065.7","22,274.8", , 
  보통주수정평균발행주식수＜당기＞,"338,881,820","390,546,520","419,788,925","438,011,860","444,444,689","444,791,548", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"5,820","6,189","7,313","9,490","13,807","17,544",45,27
  매출액＜당기＞,"19,723.3","24,169.9","30,701.1","41,568.2","61,366.7","78,036.3", , 
  보통주수정평균발행주식수＜당기＞,"338,881,820","390,546,520","419,788,925","438,011,860","444,444,689","444,791,548", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,85.50,168.01,N/A,219.25,35.92,22.23,-83.62,-38.11
  보통주수정주가(기말)＜당기＞,"27,400","20,600","30,700","77,900","112,500","81,800", , 
  EPS＜당기＞,320,123,-717,355,"3,132","3,680", , 
펼치기 PBR,2.31,1.59,2.41,5.32,4.89,3.16,-8.11,-35.45
  보통주수정주가(기말)＜당기＞,"27,400","20,600","30,700","77,900","112,500","81,800", , 
  BPS＜당기＞,"11,867","12,979","12,746","14,647","23,018","25,926", , 
펼치기 PCR,24.97,16.37,17.12,35.14,38.27,17.03,8.91,-55.50
  보통주수정주가(기말)＜당기＞,"27,400","20,600","30,700","77,900","112,500","81,800", , 
  CPS＜당기＞,"1,098","1,258","1,793","2,217","2,940","4,804", , 
펼치기 PSR,4.71,3.33,4.20,8.21,8.15,4.66,-0.74,-42.78
  보통주수정주가(기말)＜당기＞,"27,400","20,600","30,700","77,900","112,500","81,800", , 
  SPS＜당기＞,"5,820","6,189","7,313","9,490","13,807","17,544", , 
펼치기 EV/EBITDA,29.09,33.88,27.75,43.87,48.43,25.75,10.39,-46.83
  EV＜당기＞,"85,876.0","70,464.1","118,122.3","316,903.8","468,831.4","312,361.9", , 
  EBITDA＜당기＞,"2,952.0","2,079.8","4,255.9","7,223.1","9,680.5","12,130.7", , 
펼치기 DPS,30,25,25,30,53,,77, 
  현금DPS,30,25,25,30,53,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.11,0.12,0.08,0.04,0.05,0.08,0.01,0.03
  현금배당성향(%),9.25,20.99,-3.46,8.29,1.65,1.69,-6.64,0.04
