항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"1,269",-848,-676,-892,387,,143, 
  당기순이익(지배)＜당기＞,214.4,-158.9,-133.4,-238.7,108.9,, , 
  보통주수정평균발행주식수＜당기＞,"16,895,943","18,747,516","19,728,772","26,773,020","28,108,841","29,962,890", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"6,004","5,298","4,703","4,721","5,492",,16, 
  자본총계(지배)＜당기＞,"1,056.9",987.7,"1,226.6","1,231.4","1,528.8",, , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"17,604,540","18,644,173","26,084,595","26,084,595","27,833,927","31,233,927", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"-2,067",38,393,147,"1,081",,637, 
  영업활동현금흐름＜당기＞,-349.3,7.0,77.6,39.3,303.9,, , 
  보통주수정평균발행주식수＜당기＞,"16,895,943","18,747,516","19,728,772","26,773,020","28,108,841","29,962,890", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"25,547","36,170","20,621","13,278","18,237",,37, 
  매출액＜당기＞,"4,316.5","6,780.9","4,068.2","3,555.0","5,126.1",, , 
  보통주수정평균발행주식수＜당기＞,"16,895,943","18,747,516","19,728,772","26,773,020","28,108,841","29,962,890", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,18.00,N/A,N/A,N/A,40.60,,403.78, 
  보통주수정주가(기말)＜당기＞,"22,840","10,528","5,977","11,915","15,724","15,900", , 
  EPS＜당기＞,"1,269",-848,-676,-892,387,, , 
펼치기 PBR,3.90,2.03,1.30,2.58,2.93,,13.43, 
  보통주수정주가(기말)＜당기＞,"22,840","10,528","5,977","11,915","15,724","15,900", , 
  BPS＜당기＞,"6,004","5,298","4,703","4,721","5,492",, , 
펼치기 PCR,-11.05,280.67,15.19,81.17,14.54,,-82.08, 
  보통주수정주가(기말)＜당기＞,"22,840","10,528","5,977","11,915","15,724","15,900", , 
  CPS＜당기＞,"-2,067",38,393,147,"1,081",, , 
펼치기 PSR,0.89,0.29,0.29,0.90,0.86,,-3.91, 
  보통주수정주가(기말)＜당기＞,"22,840","10,528","5,977","11,915","15,724","15,900", , 
  SPS＜당기＞,"25,547","36,170","20,621","13,278","18,237",, , 
펼치기 EV/EBITDA,16.45,16.44,19.46,19.53,12.26,,-37.25, 
  EV＜당기＞,"5,790.1","3,930.9","3,021.3","5,339.7","6,677.0",, , 
  EBITDA＜당기＞,351.9,239.1,155.2,273.4,544.7,, , 
펼치기 DPS,0,0,0,0,0,, , 
  현금DPS,0,0,0,0,0,, , 
  주식DPS,0,0,0,0,0,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,0.00,,0.00, 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
