항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,-247,1,423,765,"1,643","1,936",115,18
  당기순이익(지배)＜당기＞,-63.1,0.2,108.0,195.7,420.1,495.0, , 
  보통주수정평균발행주식수＜당기＞,"25,568,270","25,568,270","25,568,270","25,568,270","25,568,270","25,568,270", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"25,253","25,255","25,253","26,306","29,088","30,525",11,5
  자본총계(지배)＜당기＞,"4,853.5","4,805.9","4,805.7","4,980.0","5,506.5","5,858.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"19,219,630","19,029,870","19,029,870","18,930,779","18,930,779","18,930,780", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"1,389","1,157","2,007","1,350",972,"2,839",-28,192
  영업활동현금흐름＜당기＞,355.0,295.8,513.2,345.1,248.5,354.0, , 
  보통주수정평균발행주식수＜당기＞,"25,568,270","25,568,270","25,568,270","25,568,270","25,568,270","25,568,270", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"33,132","35,566","26,788","26,582","31,801","33,268",20,5
  매출액＜당기＞,"8,471.2","9,093.5","6,849.3","6,796.7","8,130.9","8,506.0", , 
  보통주수정평균발행주식수＜당기＞,"25,568,270","25,568,270","25,568,270","25,568,270","25,568,270","25,568,270", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,N/A,"6,010.34",16.92,18.74,16.86,12.94,-10.03,-23.26
  보통주수정주가(기말)＜당기＞,"5,006","5,642","7,149","14,343","27,700","25,050", , 
  EPS＜당기＞,-247,1,423,765,"1,643","1,936", , 
펼치기 PBR,0.20,0.22,0.28,0.55,0.95,0.82,74.66,-13.82
  보통주수정주가(기말)＜당기＞,"5,006","5,642","7,149","14,343","27,700","25,050", , 
  BPS＜당기＞,"25,253","25,255","25,253","26,306","29,088","30,525", , 
펼치기 PCR,3.60,4.88,3.56,10.63,28.50,8.82,168.17,-69.05
  보통주수정주가(기말)＜당기＞,"5,006","5,642","7,149","14,343","27,700","25,050", , 
  CPS＜당기＞,"1,389","1,157","2,007","1,350",972,"2,839", , 
펼치기 PSR,0.15,0.16,0.27,0.54,0.87,0.75,61.44,-13.55
  보통주수정주가(기말)＜당기＞,"5,006","5,642","7,149","14,343","27,700","25,050", , 
  SPS＜당기＞,"33,132","35,566","26,788","26,582","31,801","33,268", , 
펼치기 EV/EBITDA,8.44,5.88,11.52,11.84,13.05,10.66,10.28,-18.35
  EV＜당기＞,"3,608.0","3,844.5","4,076.7","5,517.0","8,974.3","8,045.9", , 
  EBITDA＜당기＞,427.6,653.9,353.8,466.2,687.6,755.0, , 
펼치기 DPS,57,151,154,157,209,,33, 
  현금DPS,46,140,142,145,196,, , 
  주식DPS,11,12,12,12,12,, , 
  현금배당수익률,0.91,2.47,1.99,1.01,0.71,0.60,-0.30,-0.11
  현금배당성향(%),-13.48,"10,778.25",24.54,13.81,8.79,7.75,-5.02,-1.05
