항목,2017/12,2018/12,2019/12,2020/12,2021/12,"2022/12(E)

연간컨센서스닫기",전년대비,전년대비
펼치기 EPS,"3,682","-2,893","-10,877","-5,373","-4,871",226,9,105
  당기순이익(지배)＜당기＞,"2,518.8","-1,978.8","-7,852.8","-3,998.2","-3,624.8",320.0, , 
  보통주수정평균발행주식수＜당기＞,"68,411,764","68,411,764","72,196,604","74,411,764","74,411,764","141,462,953", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 BPS,"16,748","13,729","10,656","13,883","6,775","9,884",-51,46
  자본총계(지배)＜당기＞,"11,457.8","9,391.9","7,929.2","10,313.9","5,041.0","20,360.0", , 
  보통주수정기말발행주식수(자사주차감)＜당기＞,"68,411,696","68,411,696","74,411,690","74,289,108","74,411,764","205,990,711", , 
  우선주수정기말발행주식수(자사주차감)＜당기＞,0,0,0,0,0,0, , 
펼치기 CPS,"10,589","10,481","7,743","-5,449","13,549","8,334",349,-38
  영업활동현금흐름＜당기＞,"7,244.0","7,170.4","5,589.9","-4,054.9","10,082.2","4,020.0", , 
  보통주수정평균발행주식수＜당기＞,"68,411,764","68,411,764","72,196,604","74,411,764","74,411,764","141,462,953", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 SPS,"96,389","105,002","95,390","52,117","58,320","40,491",12,-31
  매출액＜당기＞,"65,941.4","71,833.9","68,868.5","38,781.3","43,397.1","57,280.0", , 
  보통주수정평균발행주식수＜당기＞,"68,411,764","68,411,764","72,196,604","74,411,764","74,411,764","141,462,953", , 
  우선주수정평균발행주식수＜당기＞,0,0,0,0,0,0, , 
펼치기 PER,3.70,N/A,N/A,N/A,N/A,82.00,-74.39,"2,097.31"
  보통주수정주가(기말)＜당기＞,"13,627","12,425","16,226","12,650","20,000","18,550", , 
  EPS＜당기＞,"3,682","-2,893","-10,877","-5,373","-4,871",226, , 
펼치기 PBR,0.81,0.91,1.52,0.91,2.95,1.88,224.01,-36.43
  보통주수정주가(기말)＜당기＞,"13,627","12,425","16,226","12,650","20,000","18,550", , 
  BPS＜당기＞,"16,748","13,729","10,656","13,883","6,775","9,884", , 
펼치기 PCR,1.29,1.19,2.10,-2.32,1.48,2.23,163.59,50.78
  보통주수정주가(기말)＜당기＞,"13,627","12,425","16,226","12,650","20,000","18,550", , 
  CPS＜당기＞,"10,589","10,481","7,743","-5,449","13,549","8,334", , 
펼치기 PSR,0.14,0.12,0.17,0.24,0.34,0.46,41.29,33.59
  보통주수정주가(기말)＜당기＞,"13,627","12,425","16,226","12,650","20,000","18,550", , 
  SPS＜당기＞,"96,389","105,002","95,390","52,117","58,320","40,491", , 
펼치기 EV/EBITDA,6.70,6.80,13.27,10.29,5.56,4.56,-45.98,-17.90
  EV＜당기＞,"51,104.5","38,250.8","84,138.8","84,007.6","78,811.8","67,183.4", , 
  EBITDA＜당기＞,"7,624.1","5,625.7","6,339.6","8,163.5","14,176.2","14,720.0", , 
펼치기 DPS,0,0,0,0,,, , 
  현금DPS,0,0,0,0,,, , 
  주식DPS,0,0,0,0,,, , 
  현금배당수익률,0.00,0.00,0.00,0.00,,0.00, , 
  현금배당성향(%),0.00,0.00,0.00,0.00,,, , 
